                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9834,                 3.7847,                 1.7854,                0.51901,                0.23692,                0.21415,                0.09868,                  2.015,                 2.8934,                 1.8169,              0.0033288,              0.0033288,              0.0033288
                      2,                  1.914,                 2.8841,                 1.7008,                0.51854,                0.22903,                0.19963,                0.08361,                 2.0788,                 2.9385,                 1.8989,              0.0065522,              0.0065522,              0.0065522
                      3,                 1.9683,                 2.7055,                 1.7511,                0.39185,                0.24389,                0.21263,                0.08916,                  2.102,                 2.5593,                 1.9304,              0.0096656,              0.0096656,              0.0096656
                      4,                 1.9805,                 2.5563,                 1.7876,                0.40465,                0.27764,                0.25276,                  0.117,                 2.0379,                 2.4305,                 1.8741,               0.009505,               0.009505,               0.009505
                      5,                 1.9445,                 2.4066,                 1.7601,                0.44612,                0.30464,                0.28835,                0.13702,                 1.9936,                 2.2939,                 1.8545,               0.009505,               0.009505,               0.009505
                      6,                 1.9047,                 2.3123,                 1.7279,                0.46036,                0.31137,                0.30591,                  0.146,                 1.9311,                 2.1999,                 1.7993,                0.00934,                0.00934,                0.00934
                      7,                 1.8764,                 2.2442,                 1.7075,                0.38315,                0.32813,                0.32162,                0.15469,                 1.8764,                 2.1774,                 1.7614,               0.009175,               0.009175,               0.009175
                      8,                 1.8453,                 2.1795,                 1.6829,                0.46806,                0.31227,                0.31495,                0.15544,                 1.9221,                 2.1913,                 1.8069,                0.00901,                0.00901,                0.00901
                      9,                 1.8279,                  2.133,                 1.6705,                0.58668,                0.34901,                0.35472,                0.17294,                 1.8806,                 2.0864,                 1.7713,               0.008845,               0.008845,               0.008845
                     10,                 1.8218,                 2.1213,                 1.6625,                0.55784,                0.35698,                0.35962,                0.17503,                 1.8811,                 2.0688,                 1.7815,                0.00868,                0.00868,                0.00868
                     11,                 1.7999,                 2.0695,                 1.6412,                0.61588,                0.37165,                0.38207,                0.18758,                 1.8424,                 1.9882,                 1.7299,               0.008515,               0.008515,               0.008515
                     12,                 1.7797,                 2.0358,                 1.6332,                0.52081,                0.39054,                0.38082,                0.19029,                 1.7986,                 1.9554,                 1.6892,                0.00835,                0.00835,                0.00835
                     13,                 1.7804,                 2.0166,                 1.6288,                0.52583,                 0.3725,                0.39345,                0.19924,                 1.8008,                  1.944,                 1.6828,               0.008185,               0.008185,               0.008185
                     14,                 1.7709,                 1.9958,                 1.6236,                0.62656,                0.37992,                0.38954,                0.19453,                 1.8059,                 1.9211,                 1.7022,                0.00802,                0.00802,                0.00802
                     15,                 1.7496,                 1.9594,                 1.6095,                0.51709,                 0.4057,                0.40042,                0.20076,                 1.7995,                 1.8965,                 1.6782,               0.007855,               0.007855,               0.007855
                     16,                   1.75,                 1.9491,                 1.6067,                0.58813,                0.43083,                0.42667,                0.21424,                 1.7912,                 1.8586,                  1.671,                0.00769,                0.00769,                0.00769
                     17,                 1.7436,                 1.9258,                 1.5986,                0.55989,                0.41721,                0.42351,                0.21511,                 1.7801,                 1.8413,                 1.6605,               0.007525,               0.007525,               0.007525
                     18,                 1.7284,                 1.9014,                 1.5917,                0.52714,                0.42269,                0.44656,                0.22096,                 1.7731,                 1.8266,                 1.6589,                0.00736,                0.00736,                0.00736
                     19,                 1.7225,                 1.8921,                 1.5816,                0.54856,                0.42816,                0.43743,                0.22295,                 1.7753,                 1.8104,                 1.6572,               0.007195,               0.007195,               0.007195
                     20,                 1.7166,                  1.885,                 1.5818,                0.55172,                0.43646,                0.44049,                 0.2238,                 1.7553,                 1.8073,                 1.6344,                0.00703,                0.00703,                0.00703
                     21,                 1.7072,                 1.8581,                 1.5656,                0.55393,                0.45548,                0.45689,                0.22769,                  1.771,                 1.7677,                 1.6437,               0.006865,               0.006865,               0.006865
                     22,                 1.7004,                 1.8481,                 1.5693,                 0.5511,                0.44839,                0.44751,                0.22526,                 1.7591,                 1.7777,                 1.6411,                 0.0067,                 0.0067,                 0.0067
                     23,                 1.6965,                  1.835,                  1.565,                0.57043,                0.42497,                0.44548,                0.22827,                 1.7484,                 1.7677,                 1.6412,               0.006535,               0.006535,               0.006535
                     24,                 1.6897,                 1.8223,                 1.5606,                 0.4336,                0.51331,                0.47698,                0.24409,                 1.7412,                 1.7472,                 1.6232,                0.00637,                0.00637,                0.00637
                     25,                 1.6797,                 1.8077,                 1.5489,                 0.4387,                0.50055,                 0.4808,                0.24838,                  1.746,                 1.7242,                 1.6354,               0.006205,               0.006205,               0.006205
                     26,                 1.6772,                 1.7926,                  1.548,                0.49122,                0.50224,                0.48228,                0.24862,                 1.7291,                 1.7211,                 1.6153,                0.00604,                0.00604,                0.00604
                     27,                 1.6722,                 1.7842,                 1.5499,                0.54818,                0.48378,                0.49137,                0.25062,                  1.723,                 1.7095,                 1.6092,               0.005875,               0.005875,               0.005875
                     28,                 1.6631,                 1.7662,                 1.5391,                0.48271,                0.54897,                0.49833,                0.25316,                 1.7268,                 1.7041,                 1.6114,                0.00571,                0.00571,                0.00571
                     29,                  1.659,                 1.7493,                 1.5346,                0.49131,                0.51268,                0.49583,                0.25435,                   1.73,                 1.6926,                  1.612,               0.005545,               0.005545,               0.005545
                     30,                  1.659,                 1.7386,                 1.5328,                0.52201,                0.53118,                0.50998,                0.26721,                 1.7155,                 1.6723,                 1.6006,                0.00538,                0.00538,                0.00538
                     31,                 1.6458,                 1.7318,                 1.5221,                  0.489,                0.50381,                0.50104,                0.25866,                 1.7176,                 1.6687,                 1.6003,               0.005215,               0.005215,               0.005215
                     32,                  1.652,                 1.7248,                 1.5277,                0.56494,                0.47526,                0.53915,                0.26388,                 1.7165,                 1.6636,                 1.6035,                0.00505,                0.00505,                0.00505
                     33,                 1.6402,                 1.7112,                 1.5167,                0.53262,                0.56156,                0.54552,                0.27248,                 1.7152,                 1.6536,                 1.6017,               0.004885,               0.004885,               0.004885
                     34,                 1.6363,                 1.7023,                 1.5146,                0.52116,                0.53433,                0.54177,                0.27228,                 1.7196,                 1.6387,                 1.5999,                0.00472,                0.00472,                0.00472
                     35,                 1.6317,                 1.6877,                 1.5097,                0.48663,                0.55559,                0.53183,                0.27697,                 1.7131,                 1.6321,                 1.5996,               0.004555,               0.004555,               0.004555
                     36,                 1.6284,                  1.675,                  1.507,                0.51789,                 0.5588,                0.55837,                0.27804,                 1.7103,                 1.6158,                  1.591,                0.00439,                0.00439,                0.00439
                     37,                 1.6196,                 1.6645,                  1.502,                 0.5337,                0.55234,                0.53682,                0.28178,                  1.701,                 1.6139,                 1.5867,               0.004225,               0.004225,               0.004225
                     38,                 1.6188,                   1.65,                 1.4997,                 0.5149,                0.57628,                0.54519,                0.28082,                 1.7077,                 1.6007,                 1.5842,                0.00406,                0.00406,                0.00406
                     39,                 1.6064,                  1.642,                 1.4896,                0.56114,                0.50916,                0.53478,                 0.2795,                 1.7066,                 1.5977,                 1.5858,               0.003895,               0.003895,               0.003895
                     40,                  1.605,                 1.6324,                 1.4846,                0.57213,                0.52894,                0.55299,                0.28838,                 1.7068,                 1.5929,                 1.5807,                0.00373,                0.00373,                0.00373
                     41,                 1.5997,                 1.6183,                 1.4856,                0.52336,                0.53328,                0.55591,                0.28151,                 1.7114,                 1.5861,                 1.5859,               0.003565,               0.003565,               0.003565
                     42,                    1.6,                 1.6079,                 1.4818,                0.54879,                0.57026,                  0.561,                0.29391,                 1.7111,                 1.5854,                 1.5871,                 0.0034,                 0.0034,                 0.0034
                     43,                  1.594,                 1.6084,                 1.4753,                 0.5666,                0.55482,                0.55873,                0.28881,                 1.7109,                 1.5785,                 1.5778,               0.003235,               0.003235,               0.003235
                     44,                 1.5827,                  1.582,                 1.4727,                0.62358,                0.52489,                0.58361,                0.30485,                 1.7114,                 1.5674,                 1.5815,                0.00307,                0.00307,                0.00307
                     45,                 1.5815,                 1.5892,                 1.4704,                0.59878,                0.53637,                0.57031,                0.30168,                 1.7098,                 1.5679,                 1.5823,               0.002905,               0.002905,               0.002905
                     46,                 1.5783,                 1.5642,                 1.4607,                0.59778,                0.54507,                0.56504,                0.29468,                 1.7158,                 1.5684,                 1.5841,                0.00274,                0.00274,                0.00274
                     47,                 1.5771,                 1.5601,                 1.4601,                0.55505,                0.56031,                0.57188,                0.30221,                 1.7098,                 1.5607,                 1.5767,               0.002575,               0.002575,               0.002575
                     48,                 1.5684,                  1.555,                 1.4621,                0.57562,                0.58058,                0.58028,                0.29743,                 1.7111,                 1.5568,                 1.5801,                0.00241,                0.00241,                0.00241
                     49,                  1.567,                 1.5573,                 1.4595,                 0.5931,                0.55077,                0.57548,                 0.2989,                 1.7125,                 1.5532,                 1.5808,               0.002245,               0.002245,               0.002245
                     50,                 1.5575,                 1.5267,                 1.4536,                 0.6098,                0.52547,                0.57922,                0.30698,                 1.7103,                  1.549,                 1.5802,                0.00208,                0.00208,                0.00208
                     51,                 1.5756,                 1.4779,                 1.5037,                0.63387,                0.52038,                0.58502,                  0.301,                 1.7096,                  1.542,                 1.5804,               0.001915,               0.001915,               0.001915
                     52,                 1.5556,                 1.4421,                 1.4951,                0.63224,                 0.5168,                0.57987,                0.29962,                 1.7131,                 1.5396,                 1.5838,                0.00175,                0.00175,                0.00175
                     53,                 1.5473,                  1.418,                 1.4888,                0.56942,                0.55467,                0.58346,                0.30308,                 1.7157,                 1.5412,                 1.5865,               0.001585,               0.001585,               0.001585
                     54,                 1.5415,                 1.4023,                 1.4813,                0.56363,                0.56712,                0.58083,                0.29949,                 1.7196,                 1.5401,                 1.5904,                0.00142,                0.00142,                0.00142
                     55,                 1.5299,                 1.3878,                 1.4825,                0.58075,                0.57348,                0.58099,                0.29974,                  1.723,                 1.5365,                  1.594,               0.001255,               0.001255,               0.001255
                     56,                 1.5225,                 1.3691,                 1.4736,                0.56643,                0.56994,                0.58446,                 0.3033,                 1.7261,                 1.5333,                 1.5964,                0.00109,                0.00109,                0.00109
                     57,                 1.5145,                 1.3625,                 1.4653,                 0.6171,                0.52778,                0.58674,                0.30181,                 1.7285,                 1.5299,                 1.5959,               0.000925,               0.000925,               0.000925
                     58,                 1.5109,                 1.3573,                 1.4645,                0.57659,                0.55062,                0.59203,                0.30409,                 1.7311,                 1.5296,                 1.5967,                0.00076,                0.00076,                0.00076
                     59,                 1.4978,                 1.3398,                 1.4544,                0.55467,                 0.5734,                0.59204,                0.30597,                 1.7328,                 1.5284,                 1.5984,               0.000595,               0.000595,               0.000595
                     60,                 1.4958,                 1.3216,                 1.4534,                0.56146,                 0.5867,                0.59492,                0.30804,                 1.7359,                 1.5269,                 1.6005,                0.00043,                0.00043,                0.00043
